Restaurant Key,Name,Links,Cost,Collections,Cuisines,Timings
62,Prism Club & Kitchen,https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,"1,200","Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events","Kebab, Continental, Italian, North Indian",5pm to 12midnight (Mon-Sun)
63,Shree Santosh Dhaba Family Restaurant,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,500,,"North Indian, Chinese, Fast Food",11 AM to 11:30 PM
64,Dine O China,https://www.zomato.com/hyderabad/dine-o-china-gachibowli,850,,"Chinese, Asian, Momos",11:30AM to 11PM (Mon-Sun)
65,Hyderabad Chefs,https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli,600,,"North Indian, Chinese",12 Noon to 10:30 PM
66,Komatose - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli,"1,500","Happy Hours, Top-Rated, Gold Curated","North Indian, Chinese, Japanese, Sushi",1 PM to 11 PM
67,Aromas@11SIX,https://www.zomato.com/hyderabad/aromas11six-gachibowli,750,,"North Indian, Chinese, Mughlai, Biryani",11:30 AM to 12 Midnight
68,Yum Yum Tree - The Arabian Food Court,https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli,"1,200",Food Hygiene Rated Restaurants in Hyderabad,"North Indian, Hyderabadi",12 Noon to 12 Midnight
69,The Tilt Bar Republic,https://www.zomato.com/thetiltbarrepublic,"1,500","Gigs and Events, Corporate Favorites","North Indian, Continental, Italian",12noon to 12midnight (Mon-Sun)
70,The Indi Grill,https://www.zomato.com/hyderabad/the-indi-grill-gachibowli,"1,500","Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest","BBQ, Asian, Modern Indian",12noon to 11pm (Mon-Sun)
71,Urban Asia - Kitchen & Bar,https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-gachibowli,"1,100",,"Asian, Thai, Chinese, Sushi, Momos","12 Noon to 3 PM, 7 PM to 11 PM"
72,Eat India Company,https://www.zomato.com/hyderabad/eat-india-company-gachibowli,"1,300",,"North Indian, Mughlai, Beverages","12 Noon to 3 PM, 7 PM to 11 PM"
73,Labonel,https://www.zomato.com/hyderabad/labonel-gachibowli,"1,000",Best Bakeries,"Bakery, Desserts","11 AM to 8 PM (Mon-Sat), Sun Closed"
74,Driven Cafe,https://www.zomato.com/hyderabad/driven-cafe-gachibowli,600,,"Cafe, Fast Food, Beverages",4 AM to 12 Midnight
75,Faasos,https://www.zomato.com/hyderabad/faasos-gachibowli,600,,"Fast Food, Biryani, Desserts",9 AM to 1 AM
76,Royal Spicy Restaurant,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,700,,"North Indian, South Indian",10:30 AM to 11 PM
77,The Old Madras Baking Company,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,350,,Bakery,7 AM to 11 PM
78,Squeeze @ The Lime,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,650,Veggie Friendly,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM"
79,Khaan Saab,https://www.zomato.com/hyderabad/khaan-saab-gachibowli,"1,100",New on Gold,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM"
80,Olive Garden,https://www.zomato.com/hyderabad/olive-garden-gachibowli,700,,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM"
81,Tandoori Food Works,https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,500,Brilliant Biryanis,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)"
82,Delhi-39,https://www.zomato.com/hyderabad/delhi-39-gachibowli,600,,"North Indian, Chinese",11am to 11pm (Mon-Sun)
83,Al Saba Restaurant,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,750,,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM
84,GD's,https://www.zomato.com/hyderabad/gds-gachibowli,500,,"Burger, American",11:30 AM to 5 AM
85,T Grill,https://www.zomato.com/hyderabad/t-grill-gachibowli,700,,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM"
86,Momos Delight,https://www.zomato.com/hyderabad/momos-delight-gachibowli,200,,Momos,6pm to 2am (Mon-Sun)
87,The Chocolate Room,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,600,,"Cafe, Desserts",10 AM to 12 Midnight
88,American Wild Wings,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,600,Food Hygiene Rated Restaurants in Hyderabad,"American, Fast Food, Salad, Burger",12 Noon to 4 AM
89,Domino's Pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400,,"Fast Food, Pizza",11 AM to 11 PM
90,Mohammedia Shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150,,"Street Food, Arabian",1 PM to 1 AM
91,Arena Eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,"1,600",New on Gold,Continental,12 Noon to 12 Midnight
92,Cascade - Radisson Hyderabad Hitec City,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,"1,800",,"North Indian, Italian, Continental, Asian",24 Hours
93,Collage - Hyatt Hyderabad Gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,"2,800",Sunday Brunches,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun)
94,Zing's Northeast Kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550,,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM"
95,Dunkin' Donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550,,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM
96,Desi Bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400,,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed"
97,Hyderabadi Daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600,Food Hygiene Rated Restaurants in Hyderabad,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun)
98,Zega - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,"1,750",,"Asian, Sushi",12Noon to 2AM (Mon-Sun)
99,Triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400,,North Indian,11 AM to 11 PM
100,Chinese Pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,"1,000",,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM"
101,IndiBlaze,https://www.zomato.com/hyderabad/indiblaze-gachibowli,600,,"Fast Food, Salad",11 AM to 11 PM
102,Sweet Basket,https://www.zomato.com/hyderabad/sweet-basket-gachibowli,200,,"Bakery, Mithai","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)"
103,Angaara Counts 3,https://www.zomato.com/hyderabad/angaara-counts-3-gachibowli,500,,"North Indian, Biryani, Chinese",12 Noon to 11 PM
104,Wich Please,https://www.zomato.com/hyderabad/wich-please-1-gachibowli,250,,Fast Food,8am to 12:30AM (Mon-Sun)
105,Republic Of Noodles - Lemon Tree Hotel,https://www.zomato.com/hyderabad/republic-of-noodles-lemon-tree-hotel-gachibowli,"1,700",Pan-Asian Delicacies,"Thai, Asian, Chinese, Malaysian","11:30 AM to 3 PM, 7 PM to 12 Midnight"
